"code","desc","position"
":art:","Improving structure / format of the code.","1"
":zap:","Improving performance.","2"
":fire:","Removing code or files.","3"
":bug:","Fixing a bug.","4"
":ambulance:","Critical hotfix.","5"
":sparkles:","Introducing new features.","6"
":memo:","Writing docs.","7"
":rocket:","Deploying stuff.","8"
":lipstick:","Updating the UI and style files.","9"
":tada:","Initial commit.","10"
":white_check_mark:","Updating tests.","11"
":lock:","Fixing security issues.","12"
":apple:","Fixing something on macOS.","13"
":penguin:","Fixing something on Linux.","14"
":checkered_flag:","Fixing something on Windows.","15"
":robot:","Fixing something on Android.","16"
":green_apple:","Fixing something on iOS.","17"
":bookmark:","Releasing / Version tags.","18"
":rotating_light:","Removing linter warnings.","19"
":construction:","Work in progress.","20"
":green_heart:","Fixing CI Build.","21"
":arrow_down:","Downgrading dependencies.","22"
":arrow_up:","Upgrading dependencies.","23"
":pushpin:","Pinning dependencies to specific versions.","24"
":construction_worker:","Adding CI build system.","25"
":chart_with_upwards_trend:","Adding analytics or tracking code.","26"
":recycle:","Refactoring code.","27"
":whale:","Work about Docker.","28"
":heavy_plus_sign:","Adding a dependency.","29"
":heavy_minus_sign:","Removing a dependency.","30"
":wrench:","Changing configuration files.","31"
":globe_with_meridians:","Internationalization and localization.","32"
":pencil2:","Fixing typos.","33"
":hankey:","Writing bad code that needs to be improved.","34"
":rewind:","Reverting changes.","35"
":twisted_rightwards_arrows:","Merging branches.","36"
":package:","Updating compiled files or packages.","37"
":alien:","Updating code due to external API changes.","38"
":truck:","Moving or renaming files.","39"
":page_facing_up:","Adding or updating license.","40"
":boom:","Introducing breaking changes.","41"
":bento:","Adding or updating assets.","42"
":ok_hand:","Updating code due to code review changes.","43"
":wheelchair:","Improving accessibility.","44"
":bulb:","Documenting source code.","45"
":beers:","Writing code drunkenly.","46"
":speech_balloon:","Updating text and literals.","47"
":card_file_box:","Performing database related changes.","48"
":loud_sound:","Adding logs.","49"
":mute:","Removing logs.","50"
":busts_in_silhouette:","Adding contributor(s).","51"
":children_crossing:","Improving user experience / usability.","52"
":building_construction:","Making architectural changes.","53"
":iphone:","Working on responsive design.","54"
":clown_face:","Mocking things.","55"
":egg:","Adding an easter egg.","56"
":see_no_evil:","Adding or updating a .gitignore file","57"
":camera_flash:","Adding or updating snapshots","58"
":alembic:","Experimenting new things","59"
":mag:","Improving SEO","60"
":wheel_of_dharma:","Work about Kubernetes","61"
":label:","Adding or updating types (Flow, TypeScript)","62"
